Razão Social|Nome de Pregão|Segmento|Links|Nome de Pregão:|CNPJ:|Atividade Principal:|Classificação Setorial:|Site:|Códigos de Negociação1:|Códigos de Negociação2:|Códigos de Negociação3:|Códigos de Negociação4:|Códigos de Negociação5:|Códigos de Negociação6:|Códigos de Negociação7:|Códigos de Negociação8:|Códigos de Negociação9:|Códigos de Negociação10:|Códigos de Negociação11:|Códigos de Negociação12:|Códigos de Negociação13:|Códigos ISIN1:|Códigos ISIN2:|Códigos ISIN3:|Códigos ISIN4:|Códigos ISIN5:|Códigos ISIN6:|Códigos ISIN7:|Códigos ISIN8:|Códigos CVM:
CIA MELHORAMENTOS DE SAO PAULO|MELHOR SP||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3654|MELHOR SP|60.730.348/0001-66||Materiais Básicos / Madeira e Papel / Papel e Celulose|http://www.melhoramentos.com.br|MSPA3|MSPA4|MSPA3||||||||||| BRMSPAACNOR0| BRMSPAACNPR7  |||||||  3654
CIA PARANAENSE DE ENERGIA - COPEL|COPEL|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14311|COPEL|76.483.817/0001-20|Geração. Transmissão. Comercialização E Distribuição de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|http://ri.copel.com|CPLE3|CPLE5|CPLE6|CPLE3|CPLE5||||||||| BRCPLEACNOR8| BRCPLEACNPA1| BRCPLEACNPB9  ||||||  14311
CIA PARTICIPACOES ALIANCA DA BAHIA|PAR AL BAHIA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18708|PAR AL BAHIA|01.938.783/0001-11|Participações em Outras Sociedades. Na Qualidade de Sócia E/ou Quotista E Administração de Bnes Próprios|Financeiro / Holdings Diversificadas / Holdings Diversificadas|http://www.aliancaparticipacoes.com.br|PEAB3|PEAB4|PEAB3||||||||||| BRPEABACNOR3| BRPEABACNPR0  |||||||  18708
CIA PAULISTA DE FORCA E LUZ|PAUL F LUZ||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3824|PAUL F LUZ|33.050.196/0001-88|Prestação de Serviço Público de Distribuição de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.cpfl.com.br|NENHUM||||||||||||| ||||||||  3824
CIA PIRATININGA DE FORCA E LUZ|CPFL PIRATIN||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19275|CPFL PIRATIN|04.172.213/0001-51|Prestação de Serviços Públicos de Distribuição de Energia Elétrica.|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.cpfl.com.br|NENHUM||||||||||||| ||||||||  19275
CIA SANEAMENTO BASICO EST SAO PAULO|SABESP|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14443|SABESP|43.776.517/0001-80|Abastecimento de água. Esgotamento Sanitário. Drenagem E Manejo de águas Pluviais Urbanas. Limpeza Urbana. Manejo de Resíduos Sólidos E Energia.|Utilidade Pública / água e Saneamento / água e Saneamento|www.sabesp.com.br|SBSP3|SBSP3|||||||||||| BRSBSPACNOR5  ||||||||  14443
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG|COPASA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19445|COPASA|17.281.106/0001-03|Prestar Serviços de Saneamento.|Utilidade Pública / água e Saneamento / água e Saneamento|www.copasa.com.br|CSMG3||||||||||||| BRCSMGACNOR5| BRCSMGDBS0A5| BRCSMGDBS0B3  ||||||  19445
CIA SANEAMENTO DO PARANA - SANEPAR|SANEPAR|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18627|SANEPAR|76.484.013/0001-45|Exploração de Serviços Públicos E de Sistemas Privados de Abastecimento de água. de Coleta. Remoção E Destinação Final de Efluentes E Resíduos Sólidos Domésticos E Industriais E Seus Subprodutos.|Utilidade Pública / água e Saneamento / água e Saneamento|www.sanepar.com.br|SAPR11|SAPR3|SAPR4|SAPR11|SAPR3||||||||| BRSAPRACNOR9| BRSAPRACNPR6| BRSAPRCDAM13  ||||||  18627
CIA SEGUROS ALIANCA DA BAHIA|SEG AL BAHIA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3115|SEG AL BAHIA|15.144.017/0001-90|Companhia de Seguros|Financeiro / Previdência e Seguros / Seguradoras|www.alba.com.br|CSAB3|CSAB4|CSAB3||||||||||| BRCSABACNOR1| BRCSABACNPR8  |||||||  3115
CIA SIDERURGICA NACIONAL|SID NACIONAL||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4030|SID NACIONAL|33.042.730/0001-04|A Companhia Siderúrgica Nacional Atua Nos Setores de Mineração. Siderurgia. Logística. Cimento E Energia.|Materiais Básicos / Siderurgia e Metalurgia / Siderurgia|www.csn.com.br|CSNA3|CSNA3|||||||||||| BRCSNAACNOR6  ||||||||  4030
CIA TECIDOS NORTE DE MINAS COTEMINAS|COTEMINAS||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3158|COTEMINAS|22.677.520/0001-76|Holding|Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos|www.ctnm.com.br|CTNM3|CTNM4|CTNM3||||||||||| BRCTNMACNOR9| BRCTNMACNPR6  |||||||  3158
CIA TECIDOS SANTANENSE|SANTANENSE||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4081|SANTANENSE|21.255.567/0001-89|Indústria Têxtil|Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos|www.santanense.com.br|CTSA3|CTSA4|CTSA8|CTSA3|CTSA4||||||||| BRCTSAACNOR3| BRCTSAACNPD0| BRCTSAACNPR0  ||||||  4081
CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO|CIBRASEC||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18287|CIBRASEC|02.105.040/0001-23|Consiste em Um Processo Financeiro Estruturado Através Do Qual Créditos São Adquiridos. Permitindo A Emissão de Valores Mobiliários (cri Ou Cra) A Serem Negociados No Mercado Financeiro E de Capitais.|Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis|www.cibrasec.com.br|NENHUM|CBSC-CRA1BB0|||||||||||| BRCBSCCRA062| BRCBSCCRI3T1  |||||||  18287
CIELO S.A.|CIELO|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21733|CIELO|01.027.058/0001-91|Empresa Prestadora de Serviços de Adquirência E Meios de Pagamento.|Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos|www.cielo.com.br|CIEL3|CIEL3|||||||||||| BRCIELACNOR3  ||||||||  21733
CIMS S.A.|CIMS||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14818|CIMS|00.272.185/0001-93|Participação No Capital de Outras Empresas|Outros / Outros / Outros|www.cims.com.br|CMSA3|CMSA4|CMSA3||||||||||| BRCMSAACNOR8| BRCMSAACNPR5  |||||||  14818
CINESYSTEM S.A.|CINESYSTEM|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23965|CINESYSTEM|07.437.016/0001-05|A Companhia Tem Como Principais Atividades A Prestação de Serviços de Cinematografia E A Revenda de Mercadorias de Bombonière.|Comunicações / Mídia / Produção e Difusão de Filmes e Programas|www.cinesystem.com.br/ri|CNSY3|CNSY3|||||||||||| BRCNSYACNOR6  ||||||||  23965
COGNA EDUCAÇÃO S.A.|COGNA ON|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17973|COGNA ON|02.800.026/0001-40|A Companhia Tem Por Objeto A Participação. Como Sócia Ou Acionista. em Sociedades Que Explorem A Administração de Atividades de Educação.|Consumo Cíclico / Diversos / Serviços Educacionais|www.kroton.com.br|COGN3|COGN3|||||||||||| BRCOGNACNOR2  ||||||||  17973
CONC AUTO RAPOSO TAVARES S.A.|CONC RAPOSO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22268|CONC RAPOSO|10.531.501/0001-58||Bens Industriais / Transporte / Exploração de Rodovias|www.cart.invepar.com.br|NENHUM||||||||||||| ||||||||  22268
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.|GRUAIRPORT|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23515|GRUAIRPORT|15.578.569/0001-06|Concessão Aeroportuária|Bens Industriais / Transporte / Serviços de Apoio e Armazenagem|www.gru.com.br|NENHUM||||||||||||| BRAGRUDBS048  ||||||||  23515
CONC ECOVIAS IMIGRANTES S.A.|ECOVIAS||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20397|ECOVIAS|02.509.491/0001-26|Concessão E Exploração de Rodovias|Bens Industriais / Transporte / Exploração de Rodovias|www.ecovias.com.br|NENHUM||||||||||||| BRECOVDBS044  ||||||||  20397
CONC RIO-TERESOPOLIS S.A.|CONC RIO TER|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19208|CONC RIO TER|00.938.574/0001-05|Administração. Operação E Conservação de Rodovia|Bens Industriais / Transporte / Exploração de Rodovias|www.crt.com.br|CRTE3B|CRTE5B|CRTE3B||||||||||| BRCRTEACNOR7| BRCRTEACNPA0  |||||||  19208
CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS|ECOPISTAS||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22411|ECOPISTAS|10.841.050/0001-55|Concessão E Exploração de Rodovias.|Bens Industriais / Transporte / Exploração de Rodovias|www.ecopistas.com.br|NENHUM||||||||||||| ||||||||  22411
CONC ROD.OESTE SP VIAOESTE S.A|VIAOESTE||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21024|VIAOESTE|02.415.408/0001-50|Concessão de Rodovias.|Bens Industriais / Transporte / Exploração de Rodovias|www.viaoeste.com.br|NENHUM||||||||||||| ||||||||  21024
CONC RODOVIAS DO TIETÊ S.A.|ROD TIETE||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22721|ROD TIETE|10.678.505/0001-63||Bens Industriais / Transporte / Exploração de Rodovias|www.rodoviasdotiete.com.br|NENHUM||||||||||||| BRRDVTDBS001  ||||||||  22721
CONC ROTA DAS BANDEIRAS S.A.|RT BANDEIRAS||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22071|RT BANDEIRAS|10.647.979/0001-48|Exploração. Sob O Regime de Concessão. Do Sistema Rodoviário Constituído Pela Malha Rodoviária Estadual Do Corredor Dom Pedro I|Bens Industriais / Transporte / Exploração de Rodovias|www.rotadasbandeiras.com.br/ri|NENHUM||||||||||||| ||||||||  22071
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN|AUTOBAN||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20192|AUTOBAN|02.451.848/0001-62|Concessão Rodoviária|Bens Industriais / Transporte / Exploração de Rodovias|www.autoban.com.br|NENHUM||||||||||||| BRANHBDBS0D8  ||||||||  20192
CONSERVAS ODERICH S.A.|ODERICH||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4693|ODERICH|97.191.902/0001-94|Indústria de Alimentos Com Sede Na Cidade de São Sebastião Do Caí (rs) E Filiais Nas Cidades de Eldorado Do Sul (rs). Pelotas (rs). Orizona (go) E Salvador (ba).|Consumo não Cíclico / Alimentos Processados / Alimentos Diversos|www.oderich.com.br|ODER3|ODER4|ODER3||||||||||| BRODERACNOR6| BRODERACNPR3  |||||||  4693
CONSORCIO ALFA DE ADMINISTRACAO S.A.|ALFA CONSORC||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4707|ALFA CONSORC|17.193.806/0001-46|A Sociedade Tem Por Objeto Social: a)	todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie; b)	atuar Como Representante. Administradora Ou Procurad|Financeiro / Previdência e Seguros / Seguradoras|www.alfanet.com.br|BRGE11|BRGE12|BRGE3|BRGE5|BRGE6|BRGE7|BRGE8|BRGE11|BRGE12|BRGE3|BRGE5|BRGE6|BRGE7;| BRBRGEACNOR6| BRBRGEACNPA9| BRBRGEACNPB7| BRBRGEACNPC5| BRBRGEACNPD3| BRBRGEACNPE1| BRBRGEACNPF8  ||  4707
CONSTRUTORA ADOLPHO LINDENBERG S.A.|CONST A LIND||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4723|CONST A LIND|61.022.042/0001-18||Consumo Cíclico / Construção Civil / Incorporações|www.grupoldi.com.br|CALI3|CALI4|CALI3||||||||||| BRCALIACNOR1| BRCALIACNPR8  |||||||  4723
CONSTRUTORA TENDA S.A.|TENDA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21148|TENDA|71.476.527/0001-35||Consumo Cíclico / Construção Civil / Incorporações|www.tenda.com|TEND3|TEND3|||||||||||| BRTENDACNOR4  ||||||||  21148
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA|COR RIBEIRO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=4863|COR RIBEIRO|15.101.405/0001-93||Financeiro / Exploração de Imóveis / Exploração de Imóveis|www.crci.com.br|CORR3|CORR4|CORR3||||||||||| BRCORRACNOR0| BRCORRACNPR7  |||||||  4863
COSAN LOGISTICA S.A.|COSAN LOG|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23485|COSAN LOG|17.346.997/0001-39|Administração. Direta Ou Indireta. de Participações Societárias em Empresas Do Setor de Infraestrutura.|Bens Industriais / Transporte / Transporte Ferroviário|http://ri.cosanlogistica.com/|NENHUM||||||||||||| ||||||||  23485
COSAN S.A.|COSAN|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19836|COSAN|50.746.577/0001-15|Produção de Açúcar. Etanol E Cogeração de Energia. Distribuição de Combustíveis.produção E Distribuição de Lubrificantes.tranporte E Carregamento de Açúcar. Operador de Terras E Distribuição de Gás.|Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição|www.cosan.com.br/ri|CSAN3|CSAN3|||||||||||| BRCSANACNOR6  ||||||||  19836
CPFL ENERGIA S.A.|CPFL ENERGIA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18660|CPFL ENERGIA|02.429.144/0001-93|Gestão de Participações Societárias (holdings)|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.cpfl.com.br|CPFE3|CPFE3|||||||||||| BRCPFEACNOR0  ||||||||  18660
CPFL ENERGIAS RENOVÁVEIS S.A.|CPFL RENOVAV||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20540|CPFL RENOVAV|08.439.659/0001-50|Geração de Energias Renováveis.|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.cpflrenovaveis.com.br|NENHUM||||||||||||| ||||||||  20540
CPFL GERACAO DE ENERGIA S.A.|CPFL GERACAO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18953|CPFL GERACAO|03.953.509/0001-47|Geração de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.cpfl.com.br|NENHUM||||||||||||| ||||||||  18953
CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.|CR2||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20630|CR2|07.820.907/0001-46|Incorporação Imobiliária|Consumo Cíclico / Construção Civil / Incorporações|www.cr2.com.br|CRDE3|CRDE3|||||||||||| BRCRDEACNOR1  ||||||||  20630
CRUZEIRO DO SUL EDUCACIONAL S.A.|CRUZEIRO EDU|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25526|CRUZEIRO EDU|62.984.091/0001-02|Atividades Relacionadas à Prestação de Serviços Do Setor de Educação E áreas Associadas. Administração de Bens Próprios E Participação em Outras Sociedades.|Consumo Cíclico / Diversos / Serviços Educacionais||CSED3|CSED3|||||||||||| BRCSEDACNOR9  ||||||||  25526
CSN MINERAÇÃO S.A.|CSNMINERACAO|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25585|CSNMINERACAO|08.902.291/0001-15|Mineração E Comercialização de Minério de Ferro. Infraestrutura de Transporte Portuária; Geração de Energia E Participação em Sociedades Com Objeto Social Compatível Com O Da Companhia.|Materiais Básicos / Mineração / Minerais Metálicos||CMIN3|CMIN3|||||||||||| BRCMINACNOR2  ||||||||  25585
CSU CARDSYSTEM S.A.|CSU CARDSYST|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20044|CSU CARDSYST|01.896.779/0001-38|Terceirização em Administração E Processamento de Meios Eletrónicos de Pagamento. Infraestrutura E Gestão em Terceirização de Contact Center. Desenvolvimento E Gestão Operacional de Programas Market|Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos|www.csu.com.br|CARD3|CARD3|||||||||||| BRCARDACNOR9  ||||||||  20044
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.|CTC S.A.|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23981|CTC S.A.|06.981.381/0001-13|Com Sua Atuação em Biotecnologia E Melhoramento Genético O Ctc Busca Busca Promover O Aumento Da Produtividade. A Redução de Custos E Soluções Agrícolas E Industriais Para O Setor Sucroenergético.|Consumo não Cíclico / Agropecuária / Agricultura|www.ctc.com.br|CTCA3|CTCA3|||||||||||| BRCTCAACNOR7  ||||||||  23981
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA|TRAN PAULIST|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18376|TRAN PAULIST|02.998.611/0001-04|Transmissão de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|http://www.isacteep.com.br|TRPL3|TRPL4|TRPL3||||||||||| BRTRPLACNOR4| BRTRPLACNPR1| BRTRPLDBS055| BRTRPLDBS071  |||||  18376
CURY CONSTRUTORA E INCORPORADORA S.A.|CURY S/A|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25100|CURY S/A|08.797.760/0001-83|Somos Uma Companhia Com Foco Na Incorporação E Construção de Empreendimentos Residenciais Enquadrados No Programa Habitacional Minha Casa Minha Vida E Sistema Brasileiro de Poupança E Empréstimo–sbpe|Consumo Cíclico / Construção Civil / Incorporações||CURY3|CURY3|||||||||||| BRCURYACNOR3  ||||||||  25100
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.|CVC BRASIL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23310|CVC BRASIL|10.760.260/0001-19|Serviços de Turismo. Compreendendo A Intermediação. Individualmente Ou Na Forma Agregada. de Passagens Aéreas. Transporte Terrestre. Reservas de Hotéis. Passagens de Cruzeiros Marítimos. Entre Outros.|Consumo Cíclico / Viagens e Lazer / Viagens e Turismo|http://www.cvc.com.br/ri|CVCB3|CVCB3|||||||||||| BRCVCBACNOR1  ||||||||  23310
CYRELA BRAZIL REALTY S.A.EMPREEND E PART|CYRELA REALT|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14460|CYRELA REALT|73.178.600/0001-18|Incorporação Imobiliária|Consumo Cíclico / Construção Civil / Incorporações|www.cyrela.com.br|CYRE3|CYRE3|||||||||||| BRCYREACNOR7  ||||||||  14460
CYRELA COMMERCIAL PROPERT S.A. EMPR PART|CYRE COM-CCP|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21040|CYRE COM-CCP|08.801.621/0001-86|Incorporação de Empreendimentos Imobiliários|Financeiro / Exploração de Imóveis / Exploração de Imóveis|www.ccpsa.com.br|CCPR3|CCPR3|||||||||||| BRCCPRACNOR9  ||||||||  21040
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.|D1000VFARMA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25046|D1000VFARMA|12.108.897/0001-50|A Companhia Tem Por Objeto A Participação. Como Sócia Ou Acionista. em Outras Sociedades Do Varejo Farmacêutico. Nacionais Ou Estrangeiras.|Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos|www.d1000varejofarma.com.br/ri|DMVF3|DMVF3|||||||||||| BRDMVFACNOR9  ||||||||  25046
DIAGNOSTICOS DA AMERICA S.A.|DASA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19623|DASA|61.486.650/0001-83|Análises Clínicas E Medicina Diagnóstica|Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos|www.dasa3.com.br|DASA3|DASA3|||||||||||| BRDASAACNOR1  ||||||||  19623
DIBENS LEASING S.A. - ARREND.MERCANTIL|DIBENS LSG||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14214|DIBENS LSG|65.654.303/0001-73|Arrendamento Mercantil|Financeiro / Intermediários Financeiros / Soc. Arrendamento Mercantil|www.itau-unibanco.com.br/dibensleasing|NENHUM||||||||||||| ||||||||  14214
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS|DIMED|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9342|DIMED|92.665.611/0001-77|Comercio Atacadista E Varejista de Medicamentos E Produtos de Perfumaria E Toucador|Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos|www.panvel.com.br|PNVL3|PNVL4|PNVL3||||||||||| BRPNVLACNOR9| BRPNVLACNPR6  |||||||  9342
DIRECIONAL ENGENHARIA S.A.|DIRECIONAL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21350|DIRECIONAL|16.614.075/0001-00|Incorporação. Construção E Comercialização de Imóveis Próprios Ou de Terceiros E Prestação de Serviços de Engenharia.|Consumo Cíclico / Construção Civil / Incorporações|www.direcional.com.br/ri|DIRR3|DIRR3|||||||||||| BRDIRRACNOR0  ||||||||  21350
DOHLER S.A.|DOHLER||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5207|DOHLER|84.683.408/0001-03|Tecelagem de Fios de Algodão E Fibras Sintéticas|Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos|www.dohler.com.br|DOHL3|DOHL4|DOHL3||||||||||| BRDOHLACNOR2| BRDOHLACNPR9  |||||||  5207
DOMMO ENERGIA S.A.|DOMMO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23493|DOMMO|08.926.302/0001-05|A Companhia Terá Por Objeto A Exploração. Produção E Comercialização de Petróleo E Seus Derivados. Gás Natural E Outros Hidrocarbonetos Fluidos.|Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição|www.dommoenergia.com.br|DMMO3|DMMO1|DMMO11||||||||||| BRDMMOACNOR0| BRDMMOD03OR1| BRDMMON01OR4  ||||||  23493
DTCOM - DIRECT TO COMPANY S.A.|DTCOM-DIRECT||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18597|DTCOM-DIRECT|03.303.999/0001-36|Treinamento em Desenvolvimento Profissional E Gerencial|Bens Industriais / Serviços / Serviços Diversos|www.dtcom.com.br|DTCY3|DTCY4|DTCY3||||||||||| BRDTCYACNOR5| BRDTCYACNPR2  |||||||  18597
DURATEX S.A.|DURATEX|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21091|DURATEX|97.837.181/0001-47|Fabricação. Comércio. Importação E Exportação de Produtos Derivados de Madeira. de Produtos de Metais E Materiais Cerâmicos|Materiais Básicos / Madeira e Papel / Madeira|www.duratex.com.br|DTEX3|DTEX3|||||||||||| BRDTEXACNOR3  ||||||||  21091
ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.|ECO SEC AGRO|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21741|ECO SEC AGRO|10.753.164/0001-43|Aquisição de Quaisquer Direitos Creditorios Do Agronegocio Com A Consequente Emissão de Certificados de Recebiveis Do Agronegocio No Mercado Financeiro E de Capitais.|Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis|www.ecoagro.agr.br|NENHUM|ECOA-CRA05B0|ECOA-CRA93B0|ECOA-CRA94B0|ECOA-CRAA4B0||||||||| BRECOACRA1G3| BRECOACRA1H1| BRECOACRA1S8| BRECOACRA1Y6| BRECOACRA2B2  ||||  21741
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.|ECON||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21903|ECON|08.873.873/0001-10|Serviços de Apoio Administrativo E de Engenharia. Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos.|Bens Industriais / Transporte / Exploração de Rodovias|www.ecorodovias.com.br|NENHUM||||||||||||| ||||||||  21903
